"last_name, first_name",pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed,year,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin,st_avg_spin,sv_avg_spin,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
"Hill, Cam",657611,92.1,,,83.9,,78.4,,,,,2020,2301.0,,,2588.0,,2785.0,,,,,48.5,,,36.1,,15.5,,,,
"Hill, Tim",657612,91.5,90.5,,80.4,,,,,,,2018,2258.0,2092.0,,2284.0,,,,,,,32.3,44.5,,23.2,,,,,,
"Hill, Tim",657612,90.4,89.9,,78.0,,,,,,,2019,2241.0,2087.0,,2112.0,,,,,,,31.4,44.1,,24.5,,,,,,
"Hill, Tim",657612,91.4,89.8,,80.3,,,,,,,2020,2227.0,2081.0,,2031.0,,,,,,,44.0,46.0,,10.1,,,,,,
"Hill, Tim",657612,92.0,91.1,87.4,84.7,86.1,,,,,,2021,2251.0,2121.0,2110.0,2126.0,1834.0,,,,,,49.8,34.7,0.2,15.1,0.2,,,,,
"Hill, Tim",657612,91.5,89.4,88.9,82.4,,,,,,,2022,2216.0,2066.0,1963.0,2008.0,,,,,,,30.3,53.8,6.7,9.1,,,,,,
"Hill, Tim",657612,90.6,88.6,87.9,83.3,,,,,,,2023,2198.0,2091.0,1936.0,1985.0,,,,,,,46.9,43.4,4.3,5.3,,,,,,
"Hill, Tim",657612,90.7,88.7,,82.2,,,,,,,2024,2157.0,2096.0,,2060.0,,,,,,,26.1,68.7,,5.2,,,,,,
"Hill, Tim",657612,89.9,88.4,,84.7,,,,,,,2025,2114.0,2058.0,,2033.0,,,,,,,13.5,82.2,,4.3,,,,,,
"James, Josh",657624,97.1,,,85.6,88.5,81.5,,,,,2018,2362.0,,,2437.0,1998.0,2481.0,,,,,59.9,,,15.2,23.2,1.7,,,,
"James, Josh",657624,97.1,,,84.5,89.0,81.6,,,,,2019,2414.0,,,2537.0,1870.0,2560.0,,,,,63.3,,,20.5,14.6,1.6,,,,
"James, Josh",657624,96.3,,,85.6,88.8,82.3,,,,,2020,2307.0,,,2575.0,1534.0,2696.0,,,,,57.8,,,23.6,13.6,5.0,,,,
"Koenig, Jared",657649,89.2,89.3,,82.9,83.0,77.6,,,,,2022,2148.0,2142.0,,2124.0,1621.0,2211.0,,,,,8.0,41.2,,15.5,13.5,21.9,,,,
"Koenig, Jared",657649,95.9,95.0,90.3,,85.5,81.1,,,,,2024,2374.0,2311.0,2455.0,,1640.0,2520.0,,,,,1.2,56.6,25.2,,3.9,13.1,,,,
"Koenig, Jared",657649,96.9,95.8,90.9,,86.6,81.7,,,,,2025,2439.0,2354.0,2435.0,,1743.0,2551.0,,,,,1.0,56.7,17.7,,9.1,15.5,,,,
"Mahle, Greg",657670,90.1,85.4,,81.8,81.7,,,,,,2016,2151.0,2013.0,,2094.0,1832.0,,,,,,26.3,30.0,,27.8,15.9,,,,,
"McGrath, Kyle",657681,86.5,,,,78.0,71.9,,,,,2017,1995.0,,,,2030.0,1741.0,,,,,51.9,,,,40.9,7.2,,,,
"Ryan, Joe",657746,91.2,,,80.7,83.3,72.7,,,,,2021,2175.0,,,2209.0,2071.0,2374.0,,,,,65.8,,,16.0,10.4,7.8,,,,
"Ryan, Joe",657746,92.0,86.7,,82.3,84.7,74.9,83.9,,80.0,,2022,2194.0,2193.0,,2134.0,2076.0,2372.0,2143.0,,2269.0,,60.1,0.2,,16.9,10.0,6.8,2.3,,3.7,
"Ryan, Joe",657746,92.3,91.9,,83.3,,,84.1,,79.3,,2023,2216.0,1930.0,,2035.0,,,1456.0,,2445.0,,56.8,0.0,,6.1,,,24.7,,12.3,
"Ryan, Joe",657746,94.0,92.9,,87.1,,,88.5,,81.3,,2024,2278.0,1952.0,,2416.0,,,2006.0,,2728.0,,48.3,6.2,,7.1,,,22.2,,16.2,
"Ryan, Joe",657746,93.7,93.2,,87.9,,79.2,87.6,,80.7,,2025,2295.0,2141.0,,2333.0,,2817.0,2014.0,,2786.0,,50.2,12.4,,9.3,,4.0,11.1,,13.0,
"Seabold, Connor",657756,92.1,,,85.6,80.4,78.7,,,,,2022,2113.0,,,2388.0,2009.0,2575.0,,,,,53.2,,,22.2,20.5,4.1,,,,
"Seabold, Connor",657756,92.6,91.5,,85.3,80.6,78.7,,,,,2023,2097.0,2056.0,,2403.0,1895.0,2589.0,,,,,53.6,0.8,,30.5,13.3,1.8,,,,
"Stout, Eric",657770,92.1,,,,87.4,77.8,,,80.1,,2022,2256.0,,,,1498.0,2445.0,,,2480.0,,34.9,,,,12.2,5.6,,,47.3,
"García, Edgar",658305,93.8,94.3,,87.1,89.1,,,,,,2019,2305.0,2274.0,,2357.0,1707.0,,,,,,43.0,6.8,,48.7,1.5,,,,,
"García, Edgar",658305,93.7,94.2,,86.4,88.0,,,,,,2021,2081.0,2035.0,,2235.0,1676.0,,,,,,18.1,34.2,,40.2,7.5,,,,,
"Medina, Adonis",658431,93.2,93.4,,86.4,87.1,80.4,,,,,2022,2364.0,2283.0,,2412.0,1756.0,2452.0,,,,,16.7,31.2,,28.0,16.7,7.5,,,,
"Fernández, Junior",658551,97.7,97.9,,88.5,89.6,,,,,,2021,2174.0,2150.0,,2035.0,1972.0,,,,,,43.3,4.0,,21.2,31.5,,,,,
"Fernández, Junior",658551,98.8,98.7,,88.9,90.9,,,,,,2022,2211.0,2052.0,,2120.0,1864.0,,,,,,13.2,41.4,,35.1,10.2,,,,,
"Avila, Pedro",658648,94.1,93.3,,,83.8,77.4,,,79.7,,2023,2238.0,2273.0,,,1645.0,2687.0,,,2782.0,,30.4,23.0,,,25.6,20.1,,,0.9,
"Avila, Pedro",658648,93.4,93.0,,83.0,83.4,77.6,,,77.9,,2024,2247.0,2306.0,,2743.0,1728.0,2725.0,,,2696.0,,39.0,12.5,,6.8,22.0,16.1,,,3.7,
"Wilkerson, Aaron",658792,89.8,,,82.7,83.2,74.5,,,,,2019,2350.0,,,2194.0,1554.0,2348.0,,,,,50.5,,,17.4,15.0,17.1,,,,
"Espinoza, Anderson",659262,93.9,93.6,,80.7,84.5,,,,,,2022,1906.0,1842.0,,2148.0,2078.0,,,,,,74.7,2.1,,21.6,1.6,,,,,
"Lamet, Dinelson",659275,95.0,94.6,,85.7,89.6,81.9,,,,,2017,2402.0,2377.0,,2543.0,1769.0,2459.0,,,,,24.5,30.8,,38.9,5.0,0.8,,,,
"Lamet, Dinelson",659275,95.9,96.3,,86.2,92.2,85.5,,,,,2019,2407.0,2380.0,,2653.0,1802.0,2710.0,,,,,35.9,18.8,,12.2,1.5,31.7,,,,
"Lamet, Dinelson",659275,97.0,97.0,,86.5,,,,,,,2020,2496.0,2442.0,,2614.0,,,,,,,37.3,9.3,,53.4,,,,,,
"Lamet, Dinelson",659275,95.5,95.5,,86.5,91.4,,,,,,2021,2427.0,2391.0,,2455.0,1950.0,,,,,,43.9,3.8,,50.6,1.7,,,,,
"Lamet, Dinelson",659275,95.4,95.7,,86.3,87.3,,,,,,2022,2403.0,2400.0,,2422.0,2029.0,,,,,,44.8,1.2,,52.5,1.5,,,,,
"Lamet, Dinelson",659275,94.8,94.9,,85.9,90.4,,,,,,2023,2475.0,2395.0,,2582.0,1732.0,,,,,,23.9,27.5,,45.9,2.7,,,,,
"Fujinami, Shintaro",660261,98.4,97.2,88.3,84.6,,75.7,92.8,,84.3,,2023,2014.0,1839.0,2041.0,2059.0,,2152.0,1181.0,,2179.0,,56.5,0.1,16.2,1.2,,0.1,19.8,,6.1,
"Ohtani, Shohei",660271,96.7,,,,,73.9,87.3,,81.5,,2018,2164.0,,,,,2360.0,1308.0,,2319.0,,46.4,,,,,6.6,22.4,,24.6,
"Ohtani, Shohei",660271,95.6,,87.0,80.6,,74.5,88.1,,82.3,,2021,2218.0,,2262.0,2273.0,,2370.0,1360.0,,2350.0,,44.0,,12.3,0.3,,3.4,18.1,,21.9,
"Ohtani, Shohei",660271,97.3,97.2,90.7,85.2,,77.6,89.3,,85.3,,2022,2218.0,1974.0,2378.0,2498.0,,2482.0,1274.0,,2492.0,,27.3,3.7,8.9,2.4,,8.5,11.9,,37.4,
"Ohtani, Shohei",660271,96.8,94.4,89.5,85.3,,75.7,88.2,,83.7,,2023,2259.0,1984.0,2362.0,2438.0,,2457.0,1250.0,,2497.0,,32.9,6.5,12.2,3.7,,3.7,5.8,,35.1,
"Ohtani, Shohei",660271,98.4,96.2,93.9,88.1,,78.6,90.3,,85.0,,2025,2467.0,2138.0,2532.0,2547.0,,2653.0,1508.0,,2594.0,,38.8,7.0,6.6,11.3,,8.8,4.6,,22.8,
"Yang, Hyeon-Jong",660365,89.9,,,80.5,81.4,72.1,,,,,2021,2168.0,,,2389.0,1695.0,2339.0,,,,,45.8,,,23.0,27.4,3.9,,,,
"Armenteros, Rogelio",660494,90.9,,,84.3,82.7,78.8,,,,,2019,2005.0,,,2323.0,1522.0,2265.0,,,,,48.3,,,3.3,28.5,19.8,,,,
"Díaz, Yennsy",660546,95.4,,,85.3,89.9,,,,,,2021,1996.0,,,2216.0,1611.0,,,,,,64.2,,,7.6,28.2,,,,,
"Reyes, Denyi",660593,91.8,91.0,86.6,78.5,84.8,,,,,,2023,2164.0,1954.0,2291.0,2217.0,1336.0,,,,,,31.6,10.4,20.3,22.5,15.1,,,,,
"Paredes, Enoli",660600,95.7,,,85.5,89.5,81.0,,,,,2020,2396.0,,,2891.0,2062.0,2916.0,,,,,68.2,,,26.0,1.9,3.9,,,,
"Paredes, Enoli",660600,95.3,,,84.4,,81.2,,,,,2021,2390.0,,,2953.0,,2959.0,,,,,66.1,,,29.1,,4.7,,,,
"Paredes, Enoli",660600,93.9,93.6,,85.6,,,,,,,2024,2455.0,2331.0,,2808.0,,,,,,,40.4,21.9,,37.6,,,,,,
"Ynoa, Huascar",660623,94.8,92.4,,86.0,86.6,,,,,,2020,2061.0,2078.0,,2297.0,2010.0,,,,,,44.1,0.3,,46.6,9.1,,,,,
"Ynoa, Huascar",660623,96.5,95.6,,85.1,88.5,,,,,,2021,2147.0,2093.0,,2425.0,1785.0,,,,,,44.7,0.5,,48.2,6.6,,,,,
"Rodríguez, Elvin",660730,93.1,92.2,90.5,82.6,86.6,76.3,,,79.6,,2022,2417.0,2337.0,2332.0,2429.0,2096.0,2654.0,,,2453.0,,51.3,2.4,0.2,24.5,12.9,3.2,,,5.4,
"Rodríguez, Elvin",660730,94.4,,87.7,,86.8,78.7,,,82.2,,2025,2461.0,,2384.0,,2008.0,2740.0,,,2450.0,,46.0,,17.0,,6.0,20.9,,,10.1,
"Suarez, José",660761,91.7,,,81.4,81.7,75.8,,,,,2019,2243.0,,,2476.0,1608.0,2788.0,,,,,47.2,,,3.4,30.9,18.5,,,,
"Suarez, José",660761,92.9,91.3,,,82.3,78.3,,,,,2021,2191.0,2031.0,,,1593.0,2758.0,,,,,40.7,7.0,,,28.6,23.7,,,,
"Suarez, José",660761,92.7,91.7,,81.8,82.4,77.9,,,79.5,,2022,2215.0,2023.0,,2584.0,1553.0,2686.0,,,2637.0,,34.2,8.4,,19.5,24.4,12.7,,,0.9,
"Suarez, José",660761,92.3,91.1,88.1,85.1,82.0,,,,78.0,,2023,2292.0,2093.0,2445.0,2578.0,1584.0,,,,2655.0,,38.1,6.8,1.5,13.2,26.8,,,,13.6,
"Suarez, José",660761,93.0,91.8,88.9,85.0,82.9,77.0,,,78.7,,2024,2341.0,2146.0,2511.0,2634.0,1546.0,2787.0,,,2740.0,,40.0,8.7,1.1,13.3,24.7,0.3,,,11.9,
"Suarez, José",660761,93.4,92.9,,82.3,83.3,76.2,,,,,2025,2417.0,2326.0,,2869.0,1589.0,2873.0,,,,,41.7,6.8,,21.0,28.5,2.0,,,,
"De los Santos, Yerry",660787,95.0,95.3,,83.9,94.3,,,,,,2022,2226.0,2197.0,,2185.0,2059.0,,,,,,1.1,58.8,,39.9,0.2,,,,,
"De los Santos, Yerry",660787,,95.0,,86.4,89.3,,,,,,2023,,2178.0,,2144.0,1597.0,,,,,,,61.5,,20.9,17.6,,,,,
"De los Santos, Yerry",660787,95.2,95.5,,85.1,88.2,,,,,,2025,2145.0,2150.0,,2069.0,1576.0,,,,,,11.2,51.7,,9.5,27.6,,,,,
"Graterol, Brusdar",660813,98.8,99.3,,89.1,92.1,,,,,,2020,2017.0,1977.0,,2477.0,1798.0,,,,,,3.1,67.7,,28.9,0.3,,,,,
"Graterol, Brusdar",660813,99.3,100.0,95.3,88.1,,,,,,,2021,2095.0,2066.0,2352.0,2521.0,,,,,,,2.5,58.7,7.5,31.4,,,,,,
"Graterol, Brusdar",660813,99.3,99.8,95.6,90.5,,,,,,,2022,2103.0,2048.0,2321.0,2533.0,,,,,,,11.1,42.2,27.6,19.1,,,,,,
"Graterol, Brusdar",660813,98.3,98.6,95.6,88.7,,,,,,,2023,2066.0,2008.0,2164.0,2546.0,,,,,,,10.5,43.4,21.7,24.3,,,,,,
"Bazardo, Eduard",660825,94.3,94.6,,82.6,,,89.0,,,,2023,2028.0,2105.0,,2591.0,,,1621.0,,,,24.8,21.9,,45.2,,,8.1,,,
"Bazardo, Eduard",660825,94.4,94.2,,82.7,,,90.9,,,,2024,2102.0,2139.0,,2529.0,,,1752.0,,,,27.2,18.8,,46.7,,,7.3,,,
"Bazardo, Eduard",660825,94.8,95.5,88.2,82.5,,,90.3,,,,2025,2149.0,2230.0,2405.0,2565.0,,,1782.0,,,,14.1,40.7,0.2,42.8,,,2.1,,,
"De Los Santos, Enyel",660853,94.6,,,83.6,86.6,77.8,,,,,2018,2145.0,,,2302.0,1937.0,2112.0,,,,,60.3,,,2.4,25.1,12.2,,,,
"De Los Santos, Enyel",660853,94.8,,,82.2,87.4,,,,,,2021,2194.0,,,2035.0,1842.0,,,,,,68.4,,,20.5,11.0,,,,,
"De Los Santos, Enyel",660853,95.3,,,83.1,87.3,,,,,,2022,2251.0,,,2143.0,1861.0,,,,,,60.5,,,28.4,11.1,,,,,
"De Los Santos, Enyel",660853,95.6,,,84.1,87.8,,,,,,2023,2266.0,,,2187.0,1895.0,,,,,,60.5,,,30.4,9.1,,,,,
"De Los Santos, Enyel",660853,95.5,95.8,,86.4,87.6,,,,,,2024,2203.0,2362.0,,2219.0,1909.0,,,,,,49.3,0.1,,42.9,7.6,,,,,
"De Los Santos, Enyel",660853,96.2,,,88.3,87.6,,,,,,2025,2288.0,,,2213.0,1914.0,,,,,,48.9,,,35.9,15.2,,,,,
"Alcala, Jorge",660896,96.9,95.7,,88.6,89.2,,,,,,2020,2405.0,2225.0,,2424.0,2346.0,,,,,,45.2,1.2,,44.7,8.9,,,,,
"Alcala, Jorge",660896,97.4,96.9,,89.7,90.0,,,,,,2021,2346.0,2188.0,,2435.0,2301.0,,,,,,37.6,6.1,,40.7,15.5,,,,,
"Alcala, Jorge",660896,96.0,94.7,,88.0,88.8,,,,,,2023,2432.0,2187.0,,2511.0,2193.0,,,,,,21.9,15.0,,41.7,21.3,,,,,
"Alcala, Jorge",660896,98.1,97.4,,89.9,91.1,,,,,,2024,2472.0,2140.0,,2504.0,2384.0,,,,,,43.8,7.7,,38.7,9.8,,,,,
"Alcala, Jorge",660896,97.4,96.8,,89.9,90.5,85.4,,,,,2025,2482.0,2227.0,,2482.0,2400.0,2598.0,,,,,46.4,13.0,,15.4,1.9,23.3,,,,
"Pérez, Francisco",660906,92.4,91.4,,81.6,86.8,76.1,,,,,2023,2118.0,1882.0,,2467.0,1807.0,2502.0,,,,,26.6,21.1,,31.2,18.8,2.3,,,,
"López, Yoan",661255,96.2,,,84.3,91.5,,,,,,2019,2195.0,,,2411.0,1457.0,,,,,,57.1,,,39.4,3.5,,,,,
"López, Yoan",661255,95.4,,,85.7,,,,,,,2020,2092.0,,,2460.0,,,,,,,54.7,,,45.3,,,,,,
"Gutierrez, Vladimir",661269,93.2,92.9,,83.3,81.4,77.6,,,,,2021,2167.0,2307.0,,2448.0,1660.0,2571.0,,,,,47.2,0.2,,22.8,12.2,17.6,,,,
"Gutierrez, Vladimir",661269,92.8,,,82.2,82.9,78.4,,,,,2022,2140.0,,,2490.0,1737.0,2555.0,,,,,49.7,,,21.9,15.4,13.0,,,,
"Martinez, Adrián",661309,93.8,,,82.0,84.0,,,,,,2022,2157.0,,,1936.0,2289.0,,,,,,50.3,,,22.1,27.6,,,,,
"Martinez, Adrián",661309,93.8,94.1,,83.2,82.7,,,,,,2023,2110.0,2053.0,,1950.0,2287.0,,,,,,58.0,1.2,,17.4,23.4,,,,,
"Ortega, Oliver",661383,95.9,96.4,,,,82.2,,,82.8,,2022,2296.0,2254.0,,,,2307.0,,,2431.0,,57.8,2.8,,,,33.7,,,5.6,
"Duran, Jhoan",661395,100.8,98.7,,89.7,,87.8,96.4,,,,2022,2174.0,1857.0,,2320.0,,2660.0,1659.0,,,,49.3,0.3,,3.0,,31.4,16.0,,,
"Duran, Jhoan",661395,101.8,,,,,87.7,98.4,,,,2023,2097.0,,,,,2697.0,1719.0,,,,44.9,,,,,27.7,27.3,,,
"Duran, Jhoan",661395,100.5,,,,,86.1,97.0,,86.2,,2024,2035.0,,,,,2571.0,1681.0,,2440.0,,40.7,,,,,27.7,31.4,,0.1,
"Duran, Jhoan",661395,100.6,,,,,87.6,97.8,,87.2,,2025,2108.0,,,,,2646.0,1825.0,,2609.0,,35.0,,,,,19.1,40.0,,5.9,
"Clase, Emmanuel",661403,99.5,,99.2,90.5,,,,,,,2019,2539.0,,2566.0,2615.0,,,,,,,5.8,,73.0,21.2,,,,,,
"Clase, Emmanuel",661403,100.6,,100.2,91.9,,,,,,,2021,2546.0,,2579.0,2550.0,,,,,,,0.9,,69.4,29.8,,,,,,
"Clase, Emmanuel",661403,100.1,99.6,99.5,91.9,,,,,,,2022,2548.0,2604.0,2653.0,2653.0,,,,,,,1.5,0.7,59.7,38.1,,,,,,
"Clase, Emmanuel",661403,100.6,98.5,99.1,91.1,,,,,,,2023,2675.0,2540.0,2637.0,2586.0,,,,,,,0.1,0.4,67.5,32.0,,,,,,
"Clase, Emmanuel",661403,,100.0,99.5,91.0,,,,,,,2024,,2520.0,2583.0,2571.0,,,,,,,,1.6,77.8,20.5,,,,,,
"Clase, Emmanuel",661403,,98.3,98.9,88.5,,,,,,,2025,,2418.0,2600.0,2504.0,,,,,,,,0.8,69.0,30.2,,,,,,
"Llovera, Mauricio",661440,94.6,95.5,,83.7,,,,,,,2022,2055.0,2116.0,,2396.0,,,,,,,3.6,40.8,,55.6,,,,,,
"Llovera, Mauricio",661440,95.0,94.5,90.4,82.7,,,,,,,2023,2215.0,2082.0,2406.0,2555.0,,,,,,,0.5,62.6,2.9,34.0,,,,,,
"Martinez, Seth",661527,91.9,90.9,86.1,,86.5,,,,79.6,,2022,2192.0,2141.0,2436.0,,1719.0,,,,2467.0,,34.0,19.1,4.2,,12.5,,,,30.2,
"Martinez, Seth",661527,91.1,90.2,,,86.2,,,,79.3,,2023,2163.0,2060.0,,,1653.0,,,,2472.0,,40.1,17.0,,,16.1,,,,26.8,
"Martinez, Seth",661527,90.8,89.8,,,84.7,,,,79.1,,2024,2112.0,2019.0,,,1625.0,,,,2416.0,,32.6,21.0,,,14.6,,,,31.9,
"Gil, Luis",661563,96.1,,,85.2,92.3,,,,,,2021,2445.0,,,2471.0,1824.0,,,,,,53.4,,,39.3,7.3,,,,,
"Gil, Luis",661563,96.6,97.7,,87.5,91.6,,,,,,2024,2438.0,2545.0,,2506.0,1721.0,,,,,,48.7,0.0,,25.9,25.3,,,,,
"Gil, Luis",661563,95.3,,,86.7,90.8,,,,,,2025,2468.0,,,2654.0,1732.0,,,,,,50.6,,,25.8,23.6,,,,,
"Muñoz, Andrés",662253,99.9,,99.0,86.3,95.7,,,,,,2019,2271.0,,2136.0,2380.0,1999.0,,,,,,67.1,,0.5,31.7,0.7,,,,,
"Muñoz, Andrés",662253,100.2,99.9,,88.6,,,,,,,2022,2289.0,2381.0,,2226.0,,,,,,,35.1,0.3,,64.6,,,,,,
"Muñoz, Andrés",662253,99.2,98.4,,88.4,,,,,,,2023,2296.0,2065.0,,2259.0,,,,,,,32.3,19.1,,48.6,,,,,,
"Muñoz, Andrés",662253,98.4,97.5,,87.6,,,,,,,2024,2256.0,2007.0,,2247.0,,,,,,,32.3,20.6,,47.1,,,,,,
"Muñoz, Andrés",662253,98.4,97.8,,86.1,91.6,,,,,,2025,2279.0,2048.0,,2356.0,1496.0,,,,,,35.1,12.4,,50.4,2.1,,,,,
"Suarez, Robert",663158,98.0,96.9,94.0,85.7,89.3,80.3,,,,,2022,2311.0,2232.0,2214.0,2186.0,1763.0,2134.0,,,,,44.6,21.2,8.4,0.7,21.0,4.1,,,,
"Suarez, Robert",663158,97.8,97.2,89.6,86.7,89.7,,,,,,2023,2370.0,2279.0,2105.0,2056.0,1816.0,,,,,,38.3,22.7,0.9,4.5,33.6,,,,,
"Suarez, Robert",663158,99.1,98.7,92.5,,91.1,,,,,,2024,2424.0,2373.0,2244.0,,1751.0,,,,,,69.5,17.5,0.4,,12.6,,,,,
"Suarez, Robert",663158,98.6,98.4,91.5,,90.5,,,,,,2025,2402.0,2382.0,2254.0,,1859.0,,,,,,63.4,12.5,0.2,,23.9,,,,,
"Waldron, Matt",663362,91.3,91.3,86.7,,,,,76.6,79.8,,2023,2049.0,2008.0,2184.0,,,,,319.0,2281.0,,21.1,23.0,13.1,,,,,26.7,16.0,
"Waldron, Matt",663362,90.7,90.0,87.1,,,,,77.6,79.3,,2024,2063.0,1972.0,2194.0,,,,,244.0,2188.0,,18.7,14.6,8.7,,,,,38.2,19.8,
"Burrows, Beau",663366,93.1,,,84.8,85.2,75.2,,,,,2021,2194.0,,,2229.0,1981.0,2320.0,,,,,57.7,,,29.6,10.9,1.9,,,,
"Feltner, Ryan",663372,94.5,93.5,,84.6,83.8,77.9,,,82.1,,2022,2346.0,2304.0,,2489.0,1595.0,2548.0,,,2433.0,,35.5,20.0,,26.6,6.2,9.6,,,2.1,
"Feltner, Ryan",663372,94.8,94.3,,88.6,84.1,79.7,,,85.4,,2023,2286.0,2252.0,,2364.0,1596.0,2578.0,,,2279.0,,26.8,18.3,,31.1,14.8,8.9,,,0.1,
"Feltner, Ryan",663372,94.6,94.2,,88.6,85.2,79.2,,,82.7,,2024,2354.0,2264.0,,2461.0,1590.0,2662.0,,,2453.0,,36.0,13.7,,20.5,14.7,10.1,,,5.0,
"Feltner, Ryan",663372,93.6,93.4,,88.0,84.7,78.7,,,81.5,,2025,2412.0,2357.0,,2514.0,1632.0,2675.0,,,2581.0,,33.3,12.5,,17.0,18.6,6.3,,,12.3,
"Szapucki, Thomas",663378,95.2,,,,87.0,80.0,,,,,2022,2148.0,,,,2015.0,2635.0,,,,,60.8,,,,4.5,34.7,,,,
"Smith, Chad",663385,,95.6,,85.2,90.3,,,,,,2022,,2265.0,,2265.0,1576.0,,,,,,,66.2,,31.8,2.1,,,,,
"Waddell, Brandon",663399,90.7,91.0,,86.4,83.5,,,,78.8,,2025,2232.0,2109.0,,2313.0,1271.0,,,,2554.0,,22.7,21.7,,17.4,14.6,,,,23.6,
"Thornton, Trent",663423,92.9,91.9,88.1,80.5,83.3,73.7,80.7,,,,2019,2372.0,2315.0,2690.0,3092.0,1497.0,2784.0,1345.0,,,,44.0,2.6,16.0,27.1,8.9,1.4,0.0,,,
"Thornton, Trent",663423,93.9,93.0,90.0,84.6,84.3,80.2,,,,,2021,2331.0,2342.0,2569.0,2892.0,1540.0,3043.0,,,,,38.9,0.7,21.0,8.1,6.3,25.1,,,,
"Thornton, Trent",663423,93.8,92.9,,85.1,,79.7,,,82.1,,2022,2431.0,2263.0,,2705.0,,3028.0,,,2923.0,,41.7,4.4,,0.8,,15.2,,,38.0,
"Thornton, Trent",663423,94.1,93.6,93.0,87.8,,80.2,,,79.6,,2023,2422.0,2309.0,2486.0,2828.0,,3079.0,,,2966.0,,33.2,11.8,0.2,9.8,,10.5,,,34.5,
"Thornton, Trent",663423,95.5,94.8,91.6,89.8,87.7,82.4,,,81.8,,2024,2502.0,2347.0,2744.0,2803.0,2103.0,3137.0,,,2942.0,,19.8,9.5,4.1,21.7,2.5,12.0,,,30.3,
"Thornton, Trent",663423,94.4,93.5,90.1,84.8,87.1,81.0,84.8,,80.2,,2025,2456.0,2297.0,2734.0,2967.0,2169.0,3095.0,1265.0,,2865.0,,33.1,2.4,22.4,1.1,1.4,18.6,2.3,,18.8,
"Rainey, Tanner",663432,97.7,,,87.2,90.4,,,,,,2019,2420.0,,,2499.0,1567.0,,,,,,70.7,,,29.0,0.3,,,,,
"Rainey, Tanner",663432,96.6,,,87.1,,,,,,,2020,2457.0,,,2407.0,,,,,,,60.9,,,39.1,,,,,,
"Rainey, Tanner",663432,96.3,,,87.7,87.6,,,,,,2021,2400.0,,,2340.0,802.0,,,,,,64.7,,,35.2,0.2,,,,,
"Rainey, Tanner",663432,97.0,97.6,,88.4,89.1,,,,,,2022,2432.0,1360.0,,2383.0,1119.0,,,,,,70.2,0.2,,29.0,0.6,,,,,
"Rainey, Tanner",663432,94.0,,,86.6,85.6,,,,,,2024,2399.0,,,2295.0,1401.0,,,,,,70.9,,,27.7,1.4,,,,,
"Martin, Davis",663436,94.0,,,84.3,85.9,79.7,,,,,2022,2356.0,,,2697.0,2192.0,2627.0,,,,,46.3,,,32.3,10.8,10.6,,,,
"Martin, Davis",663436,93.6,,89.0,83.6,89.3,78.4,,,,,2024,2384.0,,2581.0,2760.0,2017.0,2630.0,,,,,28.5,,17.4,26.8,19.7,7.6,,,,
"Martin, Davis",663436,94.0,92.9,88.2,83.4,90.2,78.8,,,,,2025,2411.0,2379.0,2580.0,2735.0,2059.0,2794.0,,,,,32.7,10.7,23.1,4.3,24.2,4.8,,,,
"Pilkington, Konnor",663455,92.1,,,81.9,84.4,77.0,,,,,2022,2220.0,,,2234.0,1742.0,2177.0,,,,,63.4,,,7.9,21.5,7.2,,,,
"Pilkington, Konnor",663455,94.5,,,85.4,85.6,81.6,,,,,2025,2359.0,,,2445.0,1739.0,2480.0,,,,,59.0,,,19.0,21.6,0.4,,,,
"Bubic, Kris",663460,91.4,,,,79.6,78.5,,,,,2020,2177.0,,,,1740.0,2567.0,,,,,54.2,,,,29.9,15.9,,,,
"Bubic, Kris",663460,90.9,,,,80.0,78.5,,,,,2021,2073.0,,,,1604.0,2619.0,,,,,52.0,,,,30.8,17.2,,,,
"Bubic, Kris",663460,91.9,89.8,,,80.7,79.4,,,,,2022,2134.0,1993.0,,,1690.0,2609.0,,,,,50.4,0.1,,,27.8,21.7,,,,
"Bubic, Kris",663460,91.7,,,83.6,82.2,80.7,,,,,2023,2176.0,,,2120.0,1866.0,2502.0,,,,,42.4,,,15.9,24.6,17.0,,,,
"Bubic, Kris",663460,93.0,92.2,,87.1,85.2,,,,83.9,,2024,2364.0,2177.0,,2592.0,1781.0,,,,2617.0,,44.3,2.8,,0.2,16.5,,,,36.2,
"Bubic, Kris",663460,92.1,91.6,,85.4,85.5,,,,82.9,,2025,2417.0,2251.0,,2487.0,1605.0,,,,2686.0,,38.1,6.5,,13.4,21.1,,,,20.9,
"Campbell, Isaiah",663462,95.0,93.9,91.8,86.5,,,,,82.1,,2023,2442.0,2440.0,2551.0,2725.0,,,,,2763.0,,45.8,0.8,0.2,38.7,,,,,14.4,
"Allard, Kolby",663465,92.4,,87.7,,81.6,77.6,,,,,2019,2109.0,,2151.0,,1652.0,1884.0,,,,,46.5,,33.1,,15.1,5.4,,,,
